,Al,Si,Fe,Cu,Mn,Mg,Cr,Ni-L,Zn,Ti,B,Be,Bi,Ca,Cd,Ga,Hg,In,Na,P,Pb,Sn,Sr,V,Zr,Ecorr[mV]
0,65.02,26.694,0.835,0.113,0.49,3.612,0.01,0.042,0.145,0.0,0.01,0.0033,0.726,0.1771,0.033,0.003,0.0352,0.0,0.1797,0.0121,0.61,0.473,0.6694,0.078,0.031,-720.019189739949
1,58.17,39.426,1.178,0.111,0.672,0.154,0.008,0.019,0.001,0.0,0.002,0.0007,0.084,0.0022,0.002,0.004,0.0084,0.0,0.0033,0.0024,0.013,0.068,0.0372,0.022,0.01,-719.661113342592
2,58.95,39.146,0.991,0.105,0.575,0.049,0.007,0.011,0.003,0.0,0.001,0.0005,0.06,0.0004,0.001,0.003,0.0047,0.0,0.0009,0.0022,0.006,0.043,0.0156,0.017,0.008,-719.300727783248
3,61.44,36.913,0.857,0.105,0.524,0.025,0.007,0.009,0.002,0.001,0.0012,0.0004,0.046,0.0,0.0,0.003,0.0076,0.0,0.0002,0.0021,0.001,0.032,0.0093,0.014,0.003,-718.955003602561
4,65.58,32.96,0.754,0.103,0.481,0.012,0.006,0.009,0.0,0.001,0.0007,0.0001,0.034,0.0,0.0,0.005,0.0045,0.0,0.0,0.0021,0.01,0.016,0.0068,0.013,0.003,-718.607298956802
5,70.46,28.212,0.67,0.109,0.437,0.013,0.005,0.008,0.002,0.001,0.0008,0.0002,0.03,0.0,0.0,0.006,0.0044,0.0,0.0,0.0021,0.0,0.013,0.0056,0.015,0.003,-718.287070775403
6,74.74,24.038,0.593,0.118,0.402,0.01,0.005,0.008,0.003,0.002,0.0011,0.0001,0.026,0.0,0.0,0.007,0.0061,0.0,0.0,0.002,0.009,0.006,0.0044,0.012,0.002,-717.962295701259
7,78.81,20.132,0.502,0.116,0.359,0.008,0.005,0.007,0.003,0.002,0.0008,0.0001,0.022,0.0,0.0,0.01,0.0025,0.0,0.0,0.002,0.0,0.001,0.0034,0.015,0.002,-717.646048431413
8,81.3,17.723,0.445,0.119,0.334,0.009,0.003,0.006,0.002,0.001,0.0008,0.0,0.019,0.0,0.0,0.009,0.0025,0.0,0.0,0.002,0.002,0.008,0.0026,0.012,0.003,-717.351124292576
9,82.58,16.509,0.407,0.122,0.309,0.01,0.004,0.006,0.004,0.0,0.0011,0.0,0.016,0.0,0.0,0.011,0.002,0.0,0.0,0.002,0.0,0.002,0.002,0.013,0.002,-717.0638538159
