Proj no.;TO no.;Coil no.;Sample no.;WS;Brazed;Depth [μm];Unit;Al;Si;Fe;Cu;Mn;Mg;Cr;Ni-L;Ni-H;Zn;Ti;B;Be;Bi;Ca;Cd;Ga;Hg;In;Li;Na;P;Pb;Sn;Sr;V;Zr;
G17-0054;432431;S02798;P18-00305BL;0;1;0,1466;m%;65,02;26,694;0,835;0,1;0,49;3,612;0,01;0,042;0;0,145;0;0,01;0,0033;0,726;0,1771;0,033;0,003;0,0352;0;0;0,1797;0,0121;0,61;0,473;0,6694;0,078;0,031;-720,0191897
G17-0054;432431;S02798;P18-00305BL;0;1;0,2875;m%;58,17;39,426;1,178;0,1;0,672;0,154;0,008;0,019;0;0,001;0;0,002;0,0007;0,084;0,0022;0,002;0,004;0,0084;0;0;0,0033;0,0024;0,013;0,068;0,0372;0,022;0,01;-719,6611133
G17-0054;432431;S02798;P18-00305BL;0;1;0,4333;m%;58,95;39,146;0,991;0,1;0,575;0,049;0,007;0,011;0;0,003;0;0,001;0,0005;0,06;0,0004;0,001;0,003;0,0047;0;0;0,0009;0,0022;0,006;0,043;0,0156;0,017;0,008;-719,3007278
G17-0054;432431;S02798;P18-00305BL;0;1;0,5772;m%;61,44;36,913;0,857;0,1;0,524;0,025;0,007;0,009;0;0,002;0,001;0,0012;0,0004;0,046;0;0;0,003;0,0076;0;0;0,0002;0,0021;0,001;0,032;0,0093;0,014;0,003;-718,9550036
G17-0054;432431;S02798;P18-00305BL;0;1;0,7262;m%;65,58;32,96;0,754;0,1;0,481;0,012;0,006;0,009;0;0;0,001;0,0007;0,0001;0,034;0;0;0,005;0,0045;0;0;0;0,0021;0,01;0,016;0,0068;0,013;0,003;-718,607299
G17-0054;432431;S02798;P18-00305BL;0;1;0,8675;m%;70,46;28,212;0,67;0,1;0,437;0,013;0,005;0,008;0;0,002;0,001;0,0008;0,0002;0,03;0;0;0,006;0,0044;0;0;0;0,0021;0;0,013;0,0056;0,015;0,003;-718,2870708
G17-0054;432431;S02798;P18-00305BL;0;1;1,0151;m%;74,74;24,038;0,593;0,1;0,402;0,01;0,005;0,008;0;0,003;0,002;0,0011;0,0001;0,026;0;0;0,007;0,0061;0;0;0;0,002;0,009;0,006;0,0044;0,012;0,002;-717,9622957
G17-0054;432431;S02798;P18-00305BL;0;1;1,1633;m%;78,81;20,132;0,502;0,1;0,359;0,008;0,005;0,007;0;0,003;0,002;0,0008;0,0001;0,022;0;0;0,01;0,0025;0;0;0;0,002;0;0,001;0,0034;0,015;0,002;-717,6460484
G17-0054;432431;S02798;P18-00305BL;0;1;1,3058;m%;81,3;17,723;0,445;0,1;0,334;0,009;0,003;0,006;0;0,002;0,001;0,0008;0;0,019;0;0;0,009;0,0025;0;0;0;0,002;0,002;0,008;0,0026;0,012;0,003;-717,3511243
G17-0054;432431;S02798;P18-00305BL;0;1;1,4489;m%;82,58;16,509;0,407;0,1;0,309;0,01;0,004;0,006;0;0,004;0;0,0011;0;0,016;0;0;0,011;0,002;0;0;0;0,002;0;0,002;0,002;0,013;0,002;-717,0638538
G17-0054;432431;S02798;P18-00305BL;0;1;1,5985;m%;83,58;15,559;0,377;0,1;0,292;0,007;0,003;0,005;0;0,004;0,001;0,0005;0;0,016;0;0;0,011;0,0017;0;0;0;0,002;0;0,002;0,0016;0,01;0,001;-716,7729146
G17-0054;432431;S02798;P18-00305BL;0;1;1,7414;m%;84,53;14,649;0,346;0,1;0,279;0,008;0,004;0,004;0;0,006;0;0,0005;0;0,016;0;0;0,011;0,0017;0;0;0;0,002;0;0,006;0,0012;0,009;0;-716,5038164
G17-0054;432431;S02798;P18-00305BL;0;1;1,8844;m%;85,32;13,905;0,322;0,1;0,263;0,007;0,003;0,005;0;0,003;0;0,0005;0;0,018;0;0;0,013;0,0012;0;0;0;0,002;0,001;0,002;0,0008;0,01;0,002;-716,2430097
G17-0054;432431;S02798;P18-00305BL;0;1;2,0337;m%;85,91;13,33;0,316;0,1;0,257;0,009;0,003;0,006;0;0,004;0,001;0,0002;0;0,011;0;0;0,012;0,001;0;0;0;0,002;0;0,002;0,0004;0,008;0,001;-715,9796182
G17-0054;432431;S02798;P18-00305BL;0;1;2,1766;m%;86,47;12,817;0,289;0,1;0,245;0,007;0,003;0,005;0;0,003;0;0,0004;0;0,009;0;0;0,012;0,0003;0;0;0;0,002;0;0,004;0,0003;0,01;0,001;-715,7358992
G17-0054;432431;S02798;P18-00305BL;0;1;2,3192;m%;86,9;12,4;0,279;0,1;0,236;0,008;0,002;0,005;0;0,004;0,001;0,0004;0;0,005;0;0;0,011;0,0008;0;0;0;0,002;0,003;0,004;0,0001;0,008;0,002;-715,5007306
G17-0054;432431;S02798;P18-00305BL;0;1;2,4681;m%;87,17;12,152;0,266;0,1;0,231;0,008;0,003;0,005;0;0,006;0,002;0,0004;0,0001;0,008;0;0;0,013;0,0007;0;0;0;0,002;0;0,001;0;0,008;0,003;-715,2636012
G17-0054;432431;S02798;P18-00305BL;0;1;2,6103;m%;87,4;11,94;0,259;0,1;0,222;0,01;0,003;0,005;0;0,003;0,001;0;0,0001;0,006;0;0;0,012;0,0002;0;0;0;0,0019;0,001;0;0;0,008;0,002;-715,045047
G17-0054;432431;S02798;P18-00305BL;0;1;2,7589;m%;87,52;11,826;0,249;0,1;0,217;0,01;0,003;0,005;0;0,005;0,001;0,0005;0;0,01;0;0;0,013;0,0002;0;0;0;0,0019;0;0,004;0;0,008;0,002;-714,8247689
G17-0054;432431;S02798;P18-00305BL;0;1;2,9006;m%;87,75;11,631;0,234;0,1;0,208;0,009;0,003;0,004;0;0,005;0;0,0003;0;0,005;0;0;0,013;0,0003;0;0;0;0,002;0;0;0;0,008;0;-714,6223119
G17-0054;432431;S02798;P18-00305BL;0;1;3,0489;m%;87,82;11,561;0,229;0,1;0,203;0,009;0,003;0,005;0;0,007;0;0,0001;0;0,006;0;0;0,013;0,0011;0;0;0;0,002;0;0,003;0;0,01;0,001;-714,418227
